id,target
0,5
1,7
2,5
3,7
4,7
5,7
6,7
7,7
8,7
9,7
10,7
11,7
12,7
13,7
14,7
15,7
16,7
17,7
18,5
19,7
20,7
21,7
22,7
23,5
24,5
25,7
26,7
27,7
28,7
29,7
30,7
31,7
32,7
33,7
34,5
35,7
36,5
37,7
38,7
39,7
40,5
41,5
42,5
43,7
44,7
45,7
46,7
47,5
48,7
49,5
50,7
51,7
52,7
53,7
54,7
55,7
56,7
57,7
58,7
59,5
60,7
61,7
62,7
63,5
64,5
65,7
66,5
67,7
68,7
69,7
70,7
71,7
72,7
73,7
74,7
75,7
76,7
77,7
78,7
79,7
80,7
81,7
82,7
83,7
84,7
85,7
86,7
87,5
88,7
89,7
90,7
91,5
92,7
93,7
94,7
95,5
96,7
97,7
98,7
99,7
100,5
101,6
102,7
103,7
104,7
105,7
106,7
107,7
108,7
109,7
110,7
111,7
112,7
113,7
114,7
115,7
116,7
117,7
118,5
119,7
120,7
121,7
122,7
123,7
124,7
125,7
126,7
127,7
128,7
129,7
130,7
131,7
132,7
133,5
134,7
135,7
136,7
137,7
138,7
139,5
140,7
141,7
142,7
143,7
144,7
145,7
146,7
147,7
148,7
149,7
150,7
151,7
152,7
153,7
154,7
155,7
156,5
157,7
158,7
159,7
160,5
161,7
162,7
163,7
164,7
165,5
166,7
167,7
168,5
169,7
170,7
171,7
172,7
173,5
174,5
175,7
176,7
177,7
178,7
179,7
180,7
181,7
182,7
183,7
184,7
185,5
186,7
187,7
188,7
189,7
190,7
191,7
192,5
193,7
194,7
195,7
196,7
197,7
198,7
199,7
200,7
201,5
202,7
203,5
204,7
205,7
206,7
207,7
208,7
209,7
210,7
211,7
212,7
213,7
214,5
215,7
216,7
217,7
218,7
219,7
220,7
221,7
222,7
223,7
224,7
225,5
226,7
227,7
228,7
229,7
230,7
231,7
232,7
233,7
234,7
235,7
236,7
237,7
238,7
239,7
240,7
241,7
242,7
243,7
244,5
245,7
246,7
247,7
248,7
249,7
250,7
251,7
252,7
253,7
254,7
255,7
256,7
257,7
258,7
259,7
260,7
261,7
262,7
263,7
264,7
265,7
266,5
267,7
268,7
269,7
270,7
271,7
272,5
273,7
274,7
275,7
276,7
277,7
278,5
279,7
280,7
281,7
282,7
283,5
284,7
285,5
286,7
287,7
288,7
289,7
290,7
291,7
292,7
293,7
294,7
295,7
296,7
297,7
298,7
299,7
300,7
301,7
302,7
303,7
304,7
305,7
306,7
307,7
308,7
309,7
310,7
311,7
312,7
313,7
314,5
315,7
316,7
317,7
318,7
319,7
320,7
321,7
322,7
323,5
324,7
325,7
326,7
327,7
328,7
329,7
330,7
331,7
332,7
333,7
334,7
335,7
336,7
337,7
338,5
339,7
340,7
341,7
342,5
343,7
344,7
345,7
346,5
347,7
348,7
349,7
350,7
351,7
352,7
